================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS (REFINED)
Source File : Session_Full_۲۰۲۶۰۸۱۰_۱۳۰۰۰۰.wav
Total Segs  : 323
[01:06:00.000 --> 01:09:29.980]  [موسیقی متن]
[01:10:00.000 --> 01:18:59.980]  [موسیقی متن در مطب پزشکی]
[01:19:30.000 --> 01:23:59.980]  [موسیقی متن در مطب پزشکی]
[01:24:22.000 --> 01:24:51.980]  [موسیقی متن]
[01:25:00.000 --> 01:27:29.980]  مسئله بیشتر نیاز است. [موسیقی متن]
[01:28:00.000 --> 01:33:59.980]  [موسیقی متن در مطب پزشکی]
[01:35:00.000 --> 01:35:29.980]  [موسیقی متن در مطب پزشکی]
[01:36:30.000 --> 01:37:00.000]  باید بررسی شود.
[01:38:14.000 --> 01:38:16.000]  ببخشید.
[01:38:27.000 --> 01:38:32.000]  سلام، حالتون چطوره؟ سلامت باشید، بفرمایید چی شده؟
[01:38:32.000 --> 01:38:35.000]  نزد شما آمدیم، تب و لرز داره، نمی‌فرماید...
[01:38:35.000 --> 01:38:36.000]  برای کنترل آوردیم.
[01:38:36.000 --> 01:38:39.000]  وضعیت ادرارش چطوره‌؟ شیر خوردنش خوبه؟
[01:38:39.000 --> 01:38:40.000]  خدا رو شکر.
[01:38:40.000 --> 01:38:50.000]  شکمش خوب کار می‌کنه؟ اسهال که نداره؟ اسهال هم هست؟ بله، شکمش اینا خوب کار می‌کنه؟ نه، خدا رو شکر.
[01:38:51.000 --> 01:38:54.000]  اما از وقتی که ویزیتش کردیم، خدا رو شکر...
[01:38:54.000 --> 01:38:56.000]  بسیار عالی.
[01:39:03.000 --> 01:39:06.000]  کجا می‌شینی؟ بله.
[01:39:06.000 --> 01:39:08.000]  یک‌کم بهتره.
[01:39:08.000 --> 01:39:26.000]  حالش از روز اول بهتره، پاکسازی شد از اون روز بردیم، زنده‌ست یاد بود. دکتر دید گفت وضعیتش رو ببین، شیر خودشو می‌بینه. نه، یک‌کم بهتر شد از اون روزی که بردم. زنده است، حالش امروز یک‌کم خودشو بهتر شد از اون روز. کار, چند روزشه؟
[01:39:26.000 --> 01:39:28.000]  پنج روز.
[01:39:30.000 --> 01:39:44.000]  ببخشید، به خاطر اولین بار همه رو درست انجام دادیم، در این روز سخته؟ آره بعد کماکان بزرگ‌تر...
[01:39:44.000 --> 01:39:48.000]  خانه یک‌کم بهتر شد، این کماکان...
[01:39:48.000 --> 01:39:50.000]  کمپرس چی زدیم؟
[01:39:50.000 --> 01:39:52.000]  این همون دنباله‌اش خوب شد.
[01:39:52.000 --> 01:39:56.000]  باید بررسی کنم، دوست داریم این همون دنباله‌اش خوب شد.
[01:39:56.000 --> 01:40:00.000]  این همون زندگی هست، نه نه نه...
[01:40:00.000 --> 01:40:16.000]  خب ببینید این زرده، بقیه چیزاش خوبه. یه قطره برای زردیش می‌نویسم، فردا بیاید من ببینم، ببینم زردیش در چه حديه. خب، بستری نمی‌خواد، فردا بیاید من ببینم.
[01:40:16.000 --> 01:40:17.000]  کجا می‌شینه؟
[01:40:17.000 --> 01:40:25.000]  منزل. باباش بازار میره، که باشه اینجا باید پیگیر باشه. بازار میره، وسایل داره.
[01:40:25.000 --> 01:40:26.000]  خب فامیلتون بلوت چاره؟
[01:40:26.000 --> 01:40:27.000]  بلوت چاره.
[01:40:27.000 --> 01:40:31.000]  این قطره رو بگید بیاره من بدم؟ این دارو رو تا...
[01:40:35.000 --> 01:40:40.000]  بقیه چیزاش خوبه ولی زردی شما پیگیر باشید وقتی برطرف نشد...
[01:40:45.000 --> 01:40:48.000]  جای دیگه نیاز نیست؟ نه، فیوژن داری.
[01:40:48.000 --> 01:40:50.000]  باید برم برم.
[01:40:55.000 --> 01:40:57.000]  در منزل ببندید.
[01:41:44.000 --> 01:43:13.980]  [موسیقی متن]
[01:43:40.000 --> 01:43:42.000]  سلام باشیم.
[01:43:42.000 --> 01:43:46.000]  سلام باشیم، برسید.
[01:43:46.000 --> 01:43:48.000]  ممنون عالی.
[01:43:48.000 --> 01:43:58.000]  چی بگم آقای دکتر، دیروز از اینجا که بردم همه سرفه داره هم آب‌ریزش، فقط دیشب گفتم با همون قرار مدار جلو بریم، آزمایش داریم.
[01:43:58.000 --> 01:44:00.000]  خب ناراحتی نداشته.
[01:44:00.000 --> 01:44:02.000]  گلوش می‌گه گلو درد می‌کنه.
[01:44:02.000 --> 01:44:04.000]  یکی می‌گه حال ندارم.
[01:44:04.000 --> 01:44:06.000]  ببینید همین طوری می‌گن سه چهار روز این‌جوریه.
[01:44:06.000 --> 01:44:12.000]  می‌گم آره یک‌کم گلوشو می‌گه درد می‌کنه، چرک‌خشک‌کن دارم.
[01:44:12.000 --> 01:44:24.000]  شما باید از دکتر بپرسید آيا دارو رو بده برای اینکه این‌جوری نیست که دکتر همیشه قبلاً می‌گفت.
[01:44:24.000 --> 01:44:26.000]  چرک‌خشک‌کن رو دارم بهش بدم خب؟
[01:44:26.000 --> 01:44:28.000]  اون تأثیر...
[01:44:28.000 --> 01:44:30.000]  این کلیه‌هاش هم که خوبه.
[01:44:30.000 --> 01:44:38.000]  دارم بدم داروها خوبن سریع عوضش کنم بده بگیم؟ فقط گفتم آمپول چیزی داره؟
[01:44:38.000 --> 01:44:40.000]  نه نه می‌گن چون تب نداره نیاز نداره.
[01:44:40.000 --> 01:44:42.000]  اگه تب می‌داشت براش می‌دادم.
[01:44:42.000 --> 01:44:44.000]  دیشب گفت تب یکم داشت.
[01:44:44.000 --> 01:44:46.000]  گفت حال ندارم دیشب که خوابیده بودم.
[01:44:46.000 --> 01:44:50.000]  پس اگه اون‌جوری یک دونه از سفتریاکسون باید براش بزنیم.
[01:44:50.000 --> 01:44:52.000]  فقط این گلوشو من نمی‌دونم.
[01:44:52.000 --> 01:44:54.000]  بیاد تو مطب بگه.
[01:44:54.000 --> 01:44:56.000]  این می‌گه حال ندارم من باورم بیحالیش خب مریضه دیگه.
[01:44:56.000 --> 01:45:00.000]  بله، دکتر ببخشید، این شکمش برای چی اذیت می‌کنه؟ اگر روده، قبلاً تنبلی روده داشته یا نه؟
[01:45:00.000 --> 01:45:08.000]  خب، این کار کردن شکمش خوبه یا دیرورده؟
[01:45:08.000 --> 01:45:11.000]  نه، دیروز فقط کار نکرد، خوب بود، فردا روز کار دیرورده، خوب بود.
[01:45:11.000 --> 01:45:14.000]  اگر راحت کار می‌کنه که هیچ، ممکنه قدر لنفاوی اطراف شکم باعث درد بشه این مدل. چی؟ اگر شکمش دیر کار می‌کنه...
[01:45:14.000 --> 01:45:22.000]  مشکل که ندارن کولون انجام شده تنبلی روده داره.
[01:45:22.000 --> 01:45:28.000]  آه تنبلی روده داره شربت انجیر بهش می‌دیم داره روده‌هاش فعال‌تر بشیم شربت انجیر داروخانه داره اینا.
[01:45:28.000 --> 01:45:34.000]  آه خوشتون اما فشارش آقایی تو می‌دیم؟
[01:45:34.000 --> 01:45:38.000]  فشار اینا معمولاً چیز نیست کار به روده نداره.
[01:45:38.000 --> 01:45:40.000]  اتفاقاً...
[01:45:40.000 --> 01:45:42.000]  تو اتفاقاً ما فشار اون‌جوری بالا نداریم تو بچه‌ها مثل بزرگسال‌ها...
[01:45:42.000 --> 01:45:48.000]  نیستن.
[01:45:48.000 --> 01:45:50.000]  می‌گه حال ندارم، می‌گم حال ندارم کوفتیه.
[01:45:50.000 --> 01:45:54.640]  آفرین کوفتیه.
[01:45:54.640 --> 01:45:55.640]  می‌گم از همونه از همونه، آردی؟ ای گلوم ای گلوم.
[01:45:55.640 --> 01:45:59.640]  این شربت‌هاشو قاشق‌های غذاخوری بده.
[01:45:59.640 --> 01:46:02.040]  آره غذاخوری دارم بدم امروز صبح دادم.
[01:46:02.040 --> 01:46:06.040]  فشارش چی شد؟
[01:46:15.640 --> 01:46:17.640]  اگه سرگیجه زیاد داره یه سرم بدیم؟
[01:46:17.640 --> 01:46:19.640]  سرگیجه داره یا نداره؟ اون داره؟
[01:46:19.640 --> 01:46:23.640]  چی می‌گه؟
[01:46:23.640 --> 01:46:25.640]  نه.
[01:46:25.640 --> 01:46:27.640]  حالا اگه سرگیجه زیاده بگو من یه سرم بدم؟
[01:46:27.640 --> 01:46:30.140]  می‌گه یک کم، نمی‌دونه.
[01:46:30.140 --> 01:46:31.640]  نه یک کم مهم نیست.
[01:46:31.640 --> 01:46:33.140]  می‌گم مهم نیست.
[01:46:33.140 --> 01:46:34.140]  حالا مایعات اینا بیشتر ببینیم استراحت کنه.
[01:46:34.140 --> 01:46:36.140]  گلودرد، مایعات بود، استراحت هم بود آره.
[01:46:36.140 --> 01:46:39.140]  ولی کلاس داره امروز.
[01:46:39.140 --> 01:46:41.140]  نه نه باید استراحت کنه نه نه.
[01:46:41.140 --> 01:46:43.640]  ولی خوبست بود و گواهی بود.
[01:46:43.640 --> 01:46:45.140]  باشه نه این کلاس رو بره نه.
[01:46:45.140 --> 01:46:47.140]  خب پس هیچی مهم نیست خیلی شکر می‌کنم یک‌راست اون پیش دکتر نمی‌رن؟ برم برم باشیم باشیم ممنون خواهش می‌کنم خداحافظ باشیم.
[01:47:09.640 --> 01:47:22.140]  سلام بابا جان سلامت باشید بفرمایید گوش‌هاشو می‌خواید سوراخ کنید خانم مانیز هم هست برای مانیز گوشواره گرفتی این مانیزیش؟ نه.
[01:47:22.140 --> 01:47:25.140]  خانم سمیعی این گوشواره یا فقط میخ‌واره هم هست؟ دوتا هم...
[01:47:25.140 --> 01:47:27.640]  فقط گوشواره بله؟
[01:47:27.640 --> 01:47:30.640]  فقط گوشواره‌س نوزاد بی‌آوره.
[01:47:30.640 --> 01:47:33.640]  خیلی خوب فقط گوشواره‌س خب بفهمم چی نیست؟
[01:47:33.640 --> 01:47:35.640]  اشکال نداره است اما اون...
[01:47:35.640 --> 01:48:08.340]  نه نه اون اشکال نداره ببینیم الان که سوراخ کردم گوشواره‌هاش رو عرفته تو گوشش باشه خانم سمیعی پنسون بیاره پنسون بیاریم تا فردا به گوش‌هاش آب نخوره یه پماد موپیروسینم می‌نویسم هر هشت ساعت مالیده بشه به گوش‌هاش آورد یه بیاریم شما بیرون باش یه نفر داخل کنید بفرمایید یه نفر داخل کنید خیلی بفرمایید.
[01:48:08.340 --> 01:48:15.220]  آدم کم باشه تو اتاق باید ترس رو بخشید چرا؟
[01:49:02.340 --> 01:49:32.340]  این‌جوری نگه‌ندار بچه هست تکیه بده به سینه دیگه از این‌جوری دست این‌جوری خوب نگه‌ندار و سر بالا تمام.
[01:49:32.340 --> 01:49:34.340]  حالا موش موبری؟
[01:49:34.340 --> 01:49:48.340]  جان جان جان تمام شد جان جان جان تمام شد تمام شد جان جان جان تمام شد تمام شد جان جان جان جان تمام شد تمام شد.
[01:49:48.340 --> 01:49:50.340]  جان جان جان جان تمام شد تمام شد.
[01:49:50.340 --> 01:49:52.340]  [... repetitive background audio / music ...]
[01:49:52.340 --> 01:49:56.340]  این دومی اندرآمیشه و دیگه از این اتاق ترسی نداره.
[01:49:56.340 --> 01:50:00.000]  نه آروم می‌شه آروم می‌شه.
[01:50:00.000 --> 01:50:30.000]  باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید باید.
[01:50:30.000 --> 01:50:36.000]  باید بررسی کنید [... repetitive background audio / music ...]
[01:50:58.000 --> 01:51:02.000]  شکمش خوب کار می‌کنه؟ آره.
[01:51:08.000 --> 01:51:14.000]  این موهای زرده کجا می‌شونی؟
[01:51:18.000 --> 01:51:20.000]  برگرد زرده.
[01:51:24.000 --> 01:51:26.000]  کدوم بیمار شد؟
[01:51:26.000 --> 01:51:31.000]  شایده خوب باشه و اینگاه بگیرم باید شده باشه.
[01:51:56.000 --> 01:51:58.000]  آش ببینیم.
[01:52:09.000 --> 01:52:17.000]  الان تو خوبه شاید یکم او بیرون چرخیده بوده باید ماساژ بدی این‌جوری خوب.
[01:52:17.000 --> 01:52:23.000]  خیلی خوب [... repetitive background audio / music ...]
[01:52:45.000 --> 01:52:48.300]  من توصیه می‌کنم دستگاه بزنید.
[01:52:48.300 --> 01:52:54.740]  من چند روز بدم و اون رو بدم بیشتر خاطر پاش نگران بودم.
[01:52:54.740 --> 01:53:07.280]  آفتاد بیا چند این برسی رو بیار من ببینم مرسی دربرداشتیم.
[01:53:37.280 --> 01:54:37.260]  موسیقی در موسیقی
[01:55:00.000 --> 01:55:13.600]  گردباد بود، بوزگاه روان، جسخه رخصت زمان پا بالا نمی‌برد.
[01:55:43.600 --> 01:56:13.580]  موسیقی در موسیقی
[01:57:05.600 --> 01:57:48.600]  سلام.
[01:58:18.600 --> 01:58:48.600]  سلام.
[01:59:14.600 --> 01:59:20.600]  اینجا باید بررسی کنید.
[02:00:30.000 --> 02:00:55.000]  اصل و اساس مسئله، توحید و خداشناسی است.
[02:03:55.000 --> 02:04:02.000]  موقعیت را آماده کنید و منتظر دستور باشید.
[02:04:10.000 --> 02:04:12.000]  شروع کنید.
[02:04:42.000 --> 02:04:50.000]  غذای مناسب برای بیمار آماده کنید.
[02:05:00.000 --> 02:05:06.000]  به خدمت شما، سریع‌تر اقدام کنید.
[02:07:00.000 --> 02:07:30.000]  ...
[02:09:30.000 --> 02:09:34.000]  بله.
[02:09:44.000 --> 02:09:45.000]  بله.
[02:09:51.000 --> 02:09:55.000]  بفرمایید، سلام.
[02:10:00.000 --> 02:10:04.000]  خب این‌ها باید بستری بشن یا دارو ببرن؟
[02:10:04.000 --> 02:10:06.000]  باید بستری بشن یا دارو ببرن؟
[02:10:06.000 --> 02:10:08.000]  حالا، حالا.
[02:10:18.000 --> 02:10:24.000]  باید آزمایش بگیرن، خداحافظ.
[02:10:30.000 --> 02:10:59.980]  [موسیقی]
[02:12:00.000 --> 02:12:31.000]  [بحث فلسفی و متفرقه]
[02:12:31.000 --> 02:12:43.000]  وضعیت بیمار به دلیل اسهال و استفراغ دچار کم‌آبی (دهیدراتاسیون) شده است.
[02:13:37.000 --> 02:13:46.000]  [صحبت‌های متفرقه]
[02:13:46.000 --> 02:13:50.000]  بررسی‌های لازم باید انجام شود.
[02:13:50.000 --> 02:14:09.000]  [ادامه صحبت‌های متفرقه]
[02:14:22.000 --> 02:14:29.000]  سلام آقای دکتر، سلامت باشید، ببینید چی شده برای بچه؟
[02:14:29.000 --> 02:14:33.000]  من دقیق نمی‌دونم، از کی شروع شده؟ سه شب پیش؟
[02:14:33.000 --> 02:14:35.000]  من خب قسیتون رو دادیم، منشی اون رو داده.
[02:14:35.000 --> 02:14:37.000]  این منشی شما...
[02:14:37.000 --> 02:14:39.000]  نه، از سه شب پیش شروع شده.
[02:14:39.000 --> 02:14:55.000]  تب و بی‌قراری داشته، شبش مثلاً مدلش چهار بار، صبح هم از صبح تا ساعت ۹، سه بار دیگه اسهال داشته. آوردمش اینجا چون حالش خوب نبود و بستریش کنم.
[02:14:59.000 --> 02:15:08.000]  این دو شب اصلاً نخوابیده، بی‌قراری شدید و گریه شدید داشته و پیشانی‌اش داغ بوده.
[02:15:08.000 --> 02:15:15.000]  آقای دکتر، آره، اونو شما باید تجویز می‌کردید. آره، شما اون داروها رو با اون قرص دادید، اسهال رو زیاد کرد.
[02:15:15.000 --> 02:15:20.000]  خیلی، یعنی تو این دو شب اصلاً نخوابیده، روز و شب بی‌قراری کرده.
[02:15:20.000 --> 02:15:22.000]  حالا شکمش امروز کار کرده؟
[02:15:22.000 --> 02:15:23.000]  نه، کار نکرده.
[02:15:23.000 --> 02:15:25.000]  شیره هم دادید بهش؟ نه.
[02:15:25.000 --> 02:15:29.000]  نه، نه، اصلاً سخت است و چیز بدیه.
[02:15:29.000 --> 02:15:33.000]  اوّل بهش می‌دادن برای اسهال، این روانی‌ها رو دادید.
[02:15:33.000 --> 02:15:37.000]  شیره سخت است، نه، نه، اصلاً.
[02:15:37.000 --> 02:15:41.000]  الان بچه چه دارویی باید مصرف کنه؟
[02:15:41.000 --> 02:15:45.000]  نه، نه، دارو داره.
[02:15:45.000 --> 02:15:49.000]  نه، می‌خوایم دست بزنه.
[02:15:49.000 --> 02:15:53.000]  از صبح تا الان شکمش کار نکرده؟
[02:15:53.000 --> 02:15:55.000]  این افزایشی گفت دارو رو؟
[02:15:55.000 --> 02:15:59.000]  یک دونه پودر بود، سیاه یا کوچک بود؟
[02:15:59.000 --> 02:16:01.000]  نه، نه، بزرگ بود، نسخه‌اش شده.
[02:16:01.000 --> 02:16:03.000]  چی بود اسم دارو؟
[02:16:03.000 --> 02:16:05.000]  نمی‌دونم، نزدیک...
[02:16:05.000 --> 02:16:07.000]  کی بود؟
[02:16:07.000 --> 02:16:09.000]  از اونجور...
[02:16:09.000 --> 02:16:13.000]  قرص اسهال بود، نه؟
[02:16:13.000 --> 02:16:19.000]  بچه این طوری دیگه میگن تب داره، اسهالش بند نمیاد.
[02:16:19.000 --> 02:16:23.000]  ولی به هر حال این خیلی بیشتر پیش داره، نه، نه، نگفت سی‌پیه دیگه.
[02:16:23.000 --> 02:16:30.000]  چیه؟ سی‌پیه، آره دیگه چون ناشتاست، چشم‌هاش انحراف داره، گردن می‌ذاره.
[02:16:37.000 --> 02:16:41.000]  اصلا دوشاخه خواب نمیده، دوش واقعاً پیچونده.
[02:16:51.000 --> 02:17:04.540]  آب بدن‌شون خیلی کم شده، آب بدن کم شده، قبض کرده. این باید بستری بشه، شک نکنید، بسیار مواظب باشید.
[02:17:04.540 --> 02:17:07.560]  من تجویز می‌کنم.
[02:17:07.560 --> 02:17:18.600]  اینو بستری کنید، اون دکتر هم درست گفته، خوددرمانی نکنید. بستری باید بشه، یا بیمارستان فلان یا میلادشت.
[02:17:18.600 --> 02:17:23.360]  من می‌فرستمش بیمارستان کودکان نصیبی هستم.
[02:17:23.360 --> 02:17:31.080]  اگر میلادشت می‌خواین ببرید، با همین نامه ببرید میلادشت. اگر گنبد می‌خواین ببرید، نامه‌اش رو بدم ببرید گنبد.
[02:17:31.080 --> 02:17:34.120]  نه، من همین‌جا می‌فرستمش، خیلی معتبرتر دیگه هستم.
[02:17:34.120 --> 02:17:37.000]  شما چی می‌گید؟ من با یه اسم خیلی نیستم.
[02:17:37.000 --> 02:18:34.120]  ببینید، آره می‌دونم، شما الان بیمارستان هزینه‌شو نمی‌دید. باید ببرید بچه رو اطفال. الان زیر ۷ سال بیمارستان‌های دولتی چیزی نمی‌گیرند. بهترین کار اینه که با همین نامه ببرید و بستری‌اش کنید. دارو دادن اشتباهه. من الان بخوام دارو بدم از این مورد، تو بری خونت خوشحال باشی؟ نه، جواب نمی‌ده. بچه خیلی کم‌آب شده، کرمکش گم‌گرس حساب شده، عفونت تو روده‌ها جمع شده، بچه اون اثر مقداری بگیره خب؟ و همین‌جا باید بستری‌اش کنید، شک نکنید. دنبال دارو هم نگردید. اگر نمی‌خواید یک نسخه بنویسید، خوشحال بگیرید، بعد هم سیستم ایمنی‌اش به‌هم‌ریخته، بچه سی‌پی هم هست، سیستم ایمنیش ضعیفه، مشکل نداره. خوشحال بسیار بود پاده باز.
[02:20:00.000 --> 02:20:59.980]  [موسیقی در مطب پزشکی]
[02:21:30.000 --> 02:41:13.000]  [موسیقی و صداهای پس‌زمینه] بنزین هم گران شده، بنزین نیست، حالا این ۱۵ لیتر...
[02:41:48.000 --> 02:44:17.980]  [موسیقی پس‌زمینه]
[02:45:00.000 --> 02:46:29.980]  [موسیقی در مطب پزشکی]
[02:47:00.000 --> 02:47:14.000]  از آزمایشگاه آب سرد نداره؟ نداره.
[02:47:24.000 --> 02:47:32.000]  این چرمنگ برای مریضا چیز نداره؟ یخ‌چال نداره؟
[02:47:32.000 --> 02:47:36.000]  آب رو کن.
[02:49:16.000 --> 02:49:18.000]  بسه برد.
[02:49:18.000 --> 02:49:27.000]  [صحبت‌های نامفهوم]
[02:49:30.000 --> 02:49:39.000]  اون روز مطب دکتر رفتم بردم...
[02:49:39.000 --> 02:49:49.000]  آره، این که یک‌کلام...
[02:49:49.000 --> 02:49:51.000]  [موسیقی پس‌زمینه]
[02:50:00.000 --> 02:52:57.000]  همچنان، بررسی‌های لازم باید انجام شود... [توضیحات بالینی و مشاوره‌ای]
[02:53:05.000 --> 02:54:11.000]  مرخصی از اینجا باید برداریم... [توضیحات و دستورات پزشکی]
[02:54:20.000 --> 02:55:00.000]  دستورات لازم برای بیمار تجویز شد.
[02:55:00.000 --> 02:55:10.000]  این سرپایی رو بررسی کردن، نسخه‌ها رو همه سال ما رو دیدن.
[02:55:10.000 --> 02:55:12.000]  [موسیقی پس‌زمینه]
[02:55:52.000 --> 02:57:51.980]  [موسیقی در مطب]
[02:59:35.000 --> 02:59:38.240]  مواظب باشم دارم، برای ادامه این دیگر رو می‌شنید.
[02:59:43.040 --> 02:59:47.760]  خب ببین، با این اعراض کم‌کم داری می‌کنی، بلو در این کاریریت شما نیستی.
[02:59:47.760 --> 03:00:00.000]  اگه با که رو بکنه کنی، کشیدت بره اگه یازده سال پیش، موبایل‌های شما رو نمی‌فروختی، الان چه میلیاردر بودنش؟ اگه به‌جای باج‌گیری رو مهم نکردم، برای برای خودتون.
[03:00:30.000 --> 03:00:50.000]  اگر بیلای شما بودید، که هرگز ۳ تا باید خریده ای همون باید بکنید. اگر یا بودید، خریده ای بودید. نه، این سیاه بود باید بود. برامت بود. باشه بود.
[03:01:14.000 --> 03:01:17.000]  با خوشی موقع دادیم.
[03:01:44.000 --> 03:03:26.860]  آیو بی جان شش مفهوم از فرنسف میگم بهت که توی زندگی با اونان بکاره یک دایره‌ی کنترل از اپیتیتوس تهران ساجمنجستره جرافیت گل شده داری هر سن روی بو میزنی فنشتن ویدی بوگی غذا از خودت بپوز باز چیانه این ترافیکای دست منه؟ نه از چون اون ده انرژی تو داری می‌سازونی؟ اپیتیتوس می‌گفت به زیر چیزها در اختیار ما هستن و به زیر چیزها نیستند روی اولین همه رو کفت بکنی و اون رو میروی ببذیر هر چیزی که عذیبت کرد اولستم از خود رو بپرسیم بابند است منه دو تیوکام به دوست زن می‌گنی جمع می‌بینه اون ساعت بعد ذهن بودی سیلوه کامل می‌سازه هر طور ناراحته ازم دل‌خورده که کنه چیزی شده باشی سرکون عزیزم شاید گوشیش ساینته، شاید خوابیده، شاید گلز هست، که موقع می‌گه وقتی چند تا توضیح می‌کنیم داریم، بیداری خرزوی از آن نسائیه ذهن ما آشرا دستان سازی رو پید، هر دستانی هم باید انترویو سه پوکی و شروعش از کامو، همون‌طور میدار میشیم دانشگاه، کار، مترو، خونه دو در از اولین چرخه که هر روز وردت یک جامعه شد، ایجاد با خود می‌دونه که کی چی کار دارن می‌کنند؟ کامل می‌گفت که اما موضوعاً منایی آماده‌ای که منتظر کشفش باشیم به ما به نکار نیست، عربی رو ما نمی‌ده اما جوابش ناامیدی هم نیست شبهش علاقه پوچی رو ادامه دادن ی زندگی با آقایی از اون که قرار نیست همون قبول ببینیم همون زندگی رو بیدیو کنیم و بعد زندگی ببینیم که گاهی باید توی همون زندگی خودمون یه منایی بسازیم برای اینکه ویدیو خیلی طولانی نشد، این شش‌ت مفهوم رو توی گو بخشی بخش‌بخش، این قسمت از کتاب ما برد شش‌ت مفهوم رو فرزد کنیم باید خیلی پیش‌میدن بره همه اینکه یه سه خیلی چهار مفهوم فرزد کنیم.
[03:04:26.860 --> 03:04:34.860]  مردی باید بردارید باید بردارید [... repetitive background audio / music ...]
[03:04:54.860 --> 03:04:59.980]  از این موضوع در مرم نیشه دیوی ایک موضوع در مرم نشان درست دارید.
[03:05:00.000 --> 03:05:30.000]  از این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع، با این موضوع
